Restaurant Name,Rating_x,Price for Two_x,Rating_y,Price for Two_y
Akasa Poolbar & Kitchen,4.1,"Continental, North Indian, Bar Food, Asian, Italian

₹2,000 for two",4.1,"Continental, North Indian, Bar Food, Asian, Italian

₹2,000 for two"
Favela,4.2,"Continental, North Indian, Chinese, Pizza, Fast Food, Biryani, Desserts, Bar Food

₹1,500 for two",4.2,"Continental, North Indian, Chinese, Pizza, Fast Food, Biryani, Desserts, Bar Food

₹1,500 for two"
Tettoricca,4.4,"North Indian, Continental

₹1,200 for two",4.4,"North Indian, Continental

₹1,200 for two"
HYDE - Kitchen & Bar,4.1,"North Indian, Chinese, Mughlai, Pasta, Fast Food, Continental, Sichuan, Desserts

₹1,800 for two",4.1,"North Indian, Chinese, Mughlai, Pasta, Fast Food, Continental, Sichuan, Desserts

₹1,800 for two"
Intactu,4.2,"North Indian, Biryani, Mughlai, Pizza, Pasta, Italian, Fast Food, Desserts

₹1,500 for two",4.2,"North Indian, Biryani, Mughlai, Pizza, Pasta, Italian, Fast Food, Desserts

₹1,500 for two"
The 3 Musketeers Cafe & Bar,4.4,"Continental, Chinese, North Indian, Mughlai, Biryani, Italian, Fast Food, Desserts

₹1,200 for two",4.4,"Continental, Chinese, North Indian, Mughlai, Biryani, Italian, Fast Food, Desserts

₹1,200 for two"
I Amsterdam,4.4,"Asian, North Indian, European

₹1,700 for two",4.4,"Asian, North Indian, European

₹1,700 for two"
Xia By Hilton Garden Inn,4.3,"Chinese, Asian, Japanese, Desserts

₹2,500 for two",4.3,"Chinese, Asian, Japanese, Desserts

₹2,500 for two"
Bao Story,4.2,"Asian

₹1,200 for two",4.2,"Asian

₹1,200 for two"
Agent Jack's,4.2,"Bar Food, North Indian, Pasta, Continental, Thai, Oriental, Chinese, Pizza

₹1,800 for two",4.2,"Bar Food, North Indian, Pasta, Continental, Thai, Oriental, Chinese, Pizza

₹1,800 for two"
Momentt- Enrise By Sayaji,4.5,"North Indian, Chinese, Mughlai, Salad, Desserts, Beverages

₹1,400 for two",4.5,"North Indian, Chinese, Mughlai, Salad, Desserts, Beverages

₹1,400 for two"
C - Dock,4.2,"Bar Food

₹1,500 for two",4.2,"Bar Food

₹1,500 for two"
Teera,4.1,"North Indian, Continental, Mughlai, Chinese, Fast Food, Desserts, Beverages, Shake

₹1,800 for two",4.1,"North Indian, Continental, Mughlai, Chinese, Fast Food, Desserts, Beverages, Shake

₹1,800 for two"
YOLO Gastro Lounge,4.2,"Finger Food, North Indian, Continental, Desserts, Bar Food, Beverages

₹1,900 for two",4.2,"Finger Food, North Indian, Continental, Desserts, Bar Food, Beverages

₹1,900 for two"
Makaira Kitchen & Bar,4.3,"Chinese, Kebab, Italian, Continental, Biryani, Maharashtrian, North Indian

₹1,500 for two",4.3,"Chinese, Kebab, Italian, Continental, Biryani, Maharashtrian, North Indian

₹1,500 for two"
Terrace By Bailamos,4.2,"Asian

₹3,000 for two",4.2,"Asian

₹3,000 for two"
Aloraa Garden Kitchen & Bar,4.5,"Maharashtrian, Continental, Chinese, Kebab, Biryani, Fast Food, Desserts, Bar Food

₹1,500 for two",4.5,"Maharashtrian, Continental, Chinese, Kebab, Biryani, Fast Food, Desserts, Bar Food

₹1,500 for two"
The Barkhana,4.6,"Bar Food, Mughlai, Chinese, North Indian, Fast Food, Desserts, Beverages, Sichuan

₹2,000 for two",4.6,"Bar Food, Mughlai, Chinese, North Indian, Fast Food, Desserts, Beverages, Sichuan

₹2,000 for two"
Cherie,4.6,"Asian, Modern Indian, Chinese, Italian, Salad, Continental, Desserts

₹1,900 for two",4.6,"Asian, Modern Indian, Chinese, Italian, Salad, Continental, Desserts

₹1,900 for two"
Cafe Peter,4.2,"Cafe, Coffee, Continental, Korean, Fast Food, Italian, Desserts, Beverages

₹1,100 for two",4.2,"Cafe, Coffee, Continental, Korean, Fast Food, Italian, Desserts, Beverages

₹1,100 for two"
Elephant & Co.,4.5,"Continental, Salad, Asian, Italian, Desserts, Beverages

₹2,000 for two",4.5,"Continental, Salad, Asian, Italian, Desserts, Beverages

₹2,000 for two"
Downtown Club,4.5,"Italian, American, Asian, Chinese, Mexican, Modern Indian, North Indian, Beverages

₹4,000 for two",4.5,"Italian, American, Asian, Chinese, Mexican, Modern Indian, North Indian, Beverages

₹4,000 for two"
Saundarya Garden,3.7,"Chinese, Rolls, Oriental, Seafood, North Indian, Mughlai, Desserts, Beverages

₹1,400 for two",3.7,"Chinese, Rolls, Oriental, Seafood, North Indian, Mughlai, Desserts, Beverages

₹1,400 for two"
Caffe Allora,4.3,"Pizza, Pasta, Italian

₹2,000 for two",4.3,"Pizza, Pasta, Italian

₹2,000 for two"
The Boho House Cocktail Bar,4.0,"North Indian, Fast Food

₹1,400 for two",4.0,"North Indian, Fast Food

₹1,400 for two"
Yakii,4.4,"Asian, Thai, Sushi, Desserts, Beverages

₹1,500 for two",4.4,"Asian, Thai, Sushi, Desserts, Beverages

₹1,500 for two"
Gong,4.7,"Chinese, Sushi, Asian, Japanese, Thai, Salad, Desserts, Beverages

₹2,000 for two",4.7,"Chinese, Sushi, Asian, Japanese, Thai, Salad, Desserts, Beverages

₹2,000 for two"
Torre - Gourmet Dining & Bar,4.5,"Fast Food, Bar Food, Finger Food

₹1,200 for two",4.5,"Fast Food, Bar Food, Finger Food

₹1,200 for two"
Rio Kitchen & Bar,4.1,"Chinese, Continental, Pasta, North Indian, Salad, BBQ, Fast Food, Beverages

₹1,400 for two",4.1,"Chinese, Continental, Pasta, North Indian, Salad, BBQ, Fast Food, Beverages

₹1,400 for two"
Le Parc,4.2,"North Indian, Continental, Italian, Oriental, Chinese, Salad, Kebab, Desserts

₹1,200 for two",4.2,"North Indian, Continental, Italian, Oriental, Chinese, Salad, Kebab, Desserts

₹1,200 for two"
Spice Factory,4.1,"North Indian, Mughlai, Chinese, Biryani, Pizza, Pasta, Beverages

₹1,800 for two",4.1,"North Indian, Mughlai, Chinese, Biryani, Pizza, Pasta, Beverages

₹1,800 for two"
Hoomans- All Day Bar,4.5,"Oriental, Chinese, Continental, Pasta, Seafood, North Indian, Desserts, Beverages

₹1,200 for two",4.5,"Oriental, Chinese, Continental, Pasta, Seafood, North Indian, Desserts, Beverages

₹1,200 for two"
Ishaara,4.5,"Biryani, North Indian, Kebab, Mughlai, Desserts

₹1,400 for two",4.5,"Biryani, North Indian, Kebab, Mughlai, Desserts

₹1,400 for two"
Swig,4.3,"Bar Food, Asian, Sushi, Pizza, Italian, Continental, Fast Food, Beverages

₹1,800 for two",4.3,"Bar Food, Asian, Sushi, Pizza, Italian, Continental, Fast Food, Beverages

₹1,800 for two"
Copper Chimney,4.4,"North Indian, Kebab, Biryani, Mughlai, Desserts, Beverages

₹1,600 for two",4.4,"North Indian, Kebab, Biryani, Mughlai, Desserts, Beverages

₹1,600 for two"
You Mee,4.5,"Asian, Japanese, Sushi, Desserts, Beverages

₹2,000 for two",4.5,"Asian, Japanese, Sushi, Desserts, Beverages

₹2,000 for two"
Ava Artisan Kitchen & Bar,4.5,"North Indian, Chinese, Continental, Sushi, Asian, Italian

₹1,200 for two",4.5,"North Indian, Chinese, Continental, Sushi, Asian, Italian

₹1,200 for two"
Flavours Of Andhra,4.0,"North Indian, Biryani, Andhra, Seafood, Mughlai, Desserts

₹1,000 for two",4.0,"North Indian, Biryani, Andhra, Seafood, Mughlai, Desserts

₹1,000 for two"
Circuit House,4.4,"North Indian, Italian, Continental, Chinese, Mughlai, Desserts, Beverages

₹2,000 for two",4.4,"North Indian, Italian, Continental, Chinese, Mughlai, Desserts, Beverages

₹2,000 for two"
BOB And Brews,4.1,"Finger Food, North Indian, Seafood, Chinese

₹1,200 for two",4.1,"Finger Food, North Indian, Seafood, Chinese

₹1,200 for two"
Nieesh,4.3,"North Indian, Mexican, Italian, Oriental, Mughlai, Seafood, Chinese, Desserts

₹1,400 for two",4.3,"North Indian, Mexican, Italian, Oriental, Mughlai, Seafood, Chinese, Desserts

₹1,400 for two"
Pind Punjab,3.9,"North Indian, Mughlai, Kebab, Biryani, Chinese, Desserts, Beverages

₹1,400 for two",3.9,"North Indian, Mughlai, Kebab, Biryani, Chinese, Desserts, Beverages

₹1,400 for two"
Copa Cabana,4.3,"North Indian, Continental, Asian, Italian, Salad, Biryani, Sandwich, Desserts

₹1,900 for two",4.3,"North Indian, Continental, Asian, Italian, Salad, Biryani, Sandwich, Desserts

₹1,900 for two"
The Gazebo World Of Veg,3.9,"North Indian, Continental, Mexican, Thai, Oriental, Italian, Desserts, Beverages

₹800 for two",3.9,"North Indian, Continental, Mexican, Thai, Oriental, Italian, Desserts, Beverages

₹800 for two"
Sante Spa Cuisine,4.5,"Cafe, Healthy Food, Mediterranean, Continental, Desserts

₹1,200 for two",4.5,"Cafe, Healthy Food, Mediterranean, Continental, Desserts

₹1,200 for two"
